eatery_adddress eatery_cost eatery_cuisine eatery_id eatery_name eatery_F_M_Station  eatery_S_M_Station  eatery_highlights eatery_buffet_price eatery_buffet_details eatery_photos eatery_should_order eatery_popular_reviews eatery_trending eatery_opening_hours eatery_coordinates eatery_rating  eatery_wishlists eatery_title eatery_url converted_epoch eatery_id review_likes review_summary review_text review_time review_url scraped_epoch user_followers user_id user_name user_reviews user_url
     distance name distance name          rating votes              
 Costfor2:Rs.3000 "Chinese, Thai, Mexican, European, North Indian" 8893 Raasta "2 km" "Green Park Metro Station" "2.6 km" "Hauz Khas Metro Station" "[u'No Home Delivery', u'Dine-In Available', u'Serves Non Veg', u'Serves Alcohol', u'Air Conditioned', u'Outdoor Seating', u'Lounge']"   True CaribbeanChicken,GalautiKebab,ChilliPaneer 89  "12 Noon to 12:30 AM" 28.5536020000,77.1942640000 3.7 "1105 votes" "Very Good" 513 https://www.zomato.com/ncr/raasta-hauz-khas-village-new-delhi  8893
                      1409569760 540453e60d0cee69ad0ae1c2 5576161 2768441 10 "Nehal Kaur" https://www.zomato.com/users/nehal-kaur-5576161  8893 "2014-08-31 01:53:28" 17 Legendary https://www.zomato.com/review/ZMMdpr  1409430208.0
                      1409569760 540453e80d0cee69ad0ae1e1 914050 1039706 11 Garima https://www.zomato.com/users/garima-914050 "This place has been on my wishlist for a while now. Was at HKV this Friday and didn't think we'd get a table here. The usher outside, however, was insistent that we would. He ""called"" his colleague upstairs to confirm. He confidently told us to go meet Sanjay,  who would help us get a table. And so we did. The people at the door upstairs were completely on a power trip. They were downright rude and educated us about how it is not so easy to get a table here. Well then why would their usher so confidently send people upstairs? Bad communication amongst the staff and the guy at the door could definitely use a lesson in courtesy. Weren't the slightest bit apologetic. Maybe this is a great place otherwise, but this encounter was very disappointing." 8893 "2014-07-26 10:48:13" 17 Poor https://www.zomato.com/review/nlZEq 1 1406351893.0
                      1409569760 540453e80d0cee69ad0ae1e2 948416 1035223 574 "Vinayak Kumar" https://www.zomato.com/vinayak "The best after-party place to go to.. Eat at any of the multi-specialty restaurants around this place and then come over here.Raasta doesnt mean ""path"". Its a take on Marley and his Rastafarian sense of living. Hence, this place is decked with his posters and the attitude thereby is to just ""chill"" (I hate that word)Coming to the drinks, their tap options are quite good and somewhat reasonable while they have one of the longest happy hours in the vicinity.Their onion rings are excellent and definitely worth a try.." 8893 "2014-07-24 17:41:40" 153 "Very Good" https://www.zomato.com/review/Xxgmy 1 1406203900.0
                      1409569760 540453e80d0cee69ad0ae1e3 3142066 1018146 2 "Puneet Vishwanath" https://www.zomato.com/users/puneet-vishwanath-3142066 "Want to head over to place where you can chill out with friends after and have a few drinks? Raasta in Hauz Khas village is the place to go to. The decor is good,outdoor and indoor seating is really nice, outdoor is just lovely, especially when the weather compliments it.The cocktails here are really awesome.The LIT's here are amazing,one of the best places i know where you get the best of those kinds. choice of drinks here is just fine,pretty much everything is available. The food isn't really something to talk home about, but the drinks, the seating, the ambiance and good music lets that slip away and still makes it a good place to chill out at. The service here is alright as well.Overall a decent place.PS:  do consider making reservations especially during the weekends if you plan to drop by Raasta." 8893 "2014-07-18 21:55:58" 15 Average https://www.zomato.com/review/klqlK  1405700758.0
                      1409569760 540453e80d0cee69ad0ae1e4 3102283 1017315 19 "Flavius Rammaswamy" https://www.zomato.com/users/flavius-rammaswamy-3102283 "The best place to go have fun with friends on a Saturday night......the ambiance is great..and the music ads to the over all appeal..the food is excellent and amply portioned as well.....and ofcourse the best LITS iv ever had! all in all an all round awesome experience every time." 8893 "2014-07-18 15:34:14" 20 "Very Good" https://www.zomato.com/review/zaNzz 2 1405677854.0
                      1409569761 540453e80d0cee69ad0ae1e5 2956716 1009347 1 Surbhi https://www.zomato.com/surbhi_25 "Been there a week back . Had to wait for some time before we got a place for ourselves .Drinks are good. The food was kind of okay. But ,the music, crowd, Ambience is perfect." 8893 "2014-07-15 14:51:52" 2 Average https://www.zomato.com/review/qEpyp 1 1405416112.0
                      1409569761 540453e80d0cee69ad0ae1e6 151878 1004929 6 "Rajat Bhatia" https://www.zomato.com/users/rajat-bhatia-151878 "Good, but nothing out of this world that would make me want to go there again. Especially for the emptiness my wallet felt afterwards.." 8893 "2014-07-13 19:55:33" 7 Average https://www.zomato.com/review/vglyg  1405261533.0
                      1409569761 540453e80d0cee69ad0ae1e7 200885 999436 17 "Anisha Garg" https://www.zomato.com/users/anisha-garg-200885 "Went there when they had happy hours. Ordered an LIIT. One LIIT and my head started spinning. Its not like I drink everyday but it has never happened to me before. Don't think I am going back ever again." 8893 "2014-07-11 22:35:26" 12 Poor https://www.zomato.com/review/GRKYL  1405098326.0
                      1409569761 540453e80d0cee69ad0ae1e8 1547346 998917 1 "Gurpreet Kaur" https://www.zomato.com/users/gurpreet-kaur-1547346 "After a tiring day, I headed to raasta to meet a friend I had not met for months. The interiors were impressive..the entire concept is unique..bringing alive the rastafarian culture. But on the food front, it can do better. We ordered veg barbados platter and honey sesame potatoes along with drinks with no scope left for mains. Honey sesame potatoes were amazing but the platter didnt impress much. For desert we tried hot chocolate souffle..which was the best part! For all this the bill came upto 3900 which felt a bit too pricey but we had ordered 4 drinks so that was justified may be. As the night started closing in, the place started getting crowded and lively. Overall a good experience." 8893 "2014-07-11 19:14:18" 7 Good https://www.zomato.com/review/AyenY  1405086258.0
                      1409569761 540453e80d0cee69ad0ae1e9 1453361 998250 29 "Harjot Sohi" https://www.zomato.com/users/harjot-sohi-1453361 "The Non Veg Platter is not to be missed!" 8893 "2014-07-11 15:09:49" 3 "Very Good" https://www.zomato.com/review/mdEyK 1 1405071589.0
                      1409569761 540453e80d0cee69ad0ae1ea 324650 997344 85 "Rahat Chawla" https://www.zomato.com/chawlarahat  8893 "2014-07-11 03:51:29" 22  https://www.zomato.com/review/ByPyD 1 1405030889.0
                      1409569761 540453e80d0cee69ad0ae1eb 125727 994559 73 "Bhaswati Talukdar" https://www.zomato.com/bhaswati "We to this place on a Saturday night. We had to wait for some time before we got a place for ourselves in the outdoor seating area. Drinks are definitely good. The food was a bit of a disappointment. However, the music, crowd, interiors and location make it an awesome place for weekend hangouts. One advice: GET a reservation if you are visiting on a weekend.Overall, a decent place." 8893 "2014-07-10 00:11:52" 29 "Very Good" https://www.zomato.com/review/QdNwd 1 1404931312.0
                      1409569761 540453e80d0cee69ad0ae1ec 3071861 988236 0 "Tarun Garu" https://www.zomato.com/users/tarun-garu-3071861 "hiur restro bar is too goodbut ur staff is too stupid. They to how handle the clients. There is a big over smart guy. day will come soon your bar is going to close" 8893 "2014-07-07 13:14:42" 1 Poor https://www.zomato.com/review/GRkbe 3 1404719082.0
                      1409569761 540453e80d0cee69ad0ae1ed 1228451 986160 1 "Rana Vaibhav Pundir" https://www.zomato.com/Babbarrana "Ultimate restro bar I hv seen one of its kind" 8893 "2014-07-06 19:43:27" 6 Good https://www.zomato.com/review/weXvl  1404656007.0
                      1409569761 540453e80d0cee69ad0ae1ee 1573932 977492 18 "Kshitij Singh" https://www.zomato.com/users/kshitij-singh-1573932 "Raasta. So i have been following upon this pubs concept and i really appreciate to what they have come up with.The whole Caribbean vibe and music is a chilled out concept. I love the indoor/outdoor variation of the place giving option to the crowd according to their preference and comfort. i went their with a couple of friends once on a bday and the other time when they were featuring """". And honestly i was just in awe of the whole ambiance. Even though The genre that this place caters too im not particularly fond of but once in a blue moon i can do EDM . I like the food over there particularly the """".The service gets a lil bit slacked but it is understandable as the crowd and the servers ratio at times get to be pretty absurd and you will have to give up to the the managers who have a deep sense of dedication towards the genre and the regular crowd who cater to this joint (Just couldnt resist not using this word when reviewing raasta).Ok so for me the...read more" 8893 "2014-07-03 15:56:14" 5  https://www.zomato.com/review/EmAZo  1404383174.0
                      1409569761 540453e80d0cee69ad0ae1ef 309977 972140 101 "Neha Chaudhary" https://www.zomato.com/nehachaudhary58 "This place has some magic !I'm in love with this place and I do visit this place frequently.I love their playlist and you can now enjoy the dancefloor too !!Drinks are good and the food though can be much more better. The interiors are good and this place is always full of people !Girls can enjoy on Sunday's (Ladies Night ) . Enjoy free drinks till 10:30pmA fun place to hangout :)Try their white sauce pasta, carribean onion rings  and salad's :)" 8893 "2014-07-01 01:16:50" 37 Excellent https://www.zomato.com/review/nYYeP 2 1404157610.0
                      1409569761 540453e80d0cee69ad0ae1f0 2718300 970242 2 "Shivraj Choudhary" https://www.zomato.com/users/shivraj-choudhary-2718300 "Awsme place to hangout wid frndzzz" 8893 "2014-06-30 11:06:25" 2 Excellent https://www.zomato.com/review/apdby  1404106585.0
                      1409569761 540453e80d0cee69ad0ae1f1 1347777 969933 0 Karan https://www.zomato.com/users/karan-1347777 "Chicken was great and chocolate shake wajust too good" 8893 "2014-06-30 04:09:48" 1 "Very Good" https://www.zomato.com/review/dRvdk  1404081588.0
                      1409569761 540453e80d0cee69ad0ae1f2 2432562 968956 19 "Arjun Tandon" https://www.zomato.com/users/arjun-tandon-2432562 "Nice crowd music is only for carribean lovers .... Cool job done overall with the place" 8893 "2014-06-29 21:16:38" 5 Good https://www.zomato.com/review/xbdeb  1404056798.0
                      1409569761 540453e80d0cee69ad0ae1f3 2393620 967456 6 "Sheetal Sandhu" https://www.zomato.com/users/sheetal-sandhu-2393620 "Only if they could give us a table , it would have been a 4 :) .... Good catch up with my team but music can be better !! Long way to go before it is called THE hangout place ;)" 8893 "2014-06-29 12:24:34" 5 Average https://www.zomato.com/review/xbowo  1404024874.0
                      1409569761 540453e80d0cee69ad0ae1f4 328819 960434 3 Mehul0846 https://www.zomato.com/users/mehul0846-328819 "Awesome place to hangout wth friends" 8893 "2014-06-27 22:28:08" 4 Excellent https://www.zomato.com/review/MpPOA  1403888288.0
                      1409569761 540453e80d0cee69ad0ae1f5 1654744 954650 0 "Qadir Abbas" https://www.zomato.com/users/qadir-abbas-1654744 "It was worth visiting Raasta even after almost a year, it still is the same with the same old tradition of providing you chill out service and good cocktails and food to create a good moodRaasta is the place to be at whenever you are in DelhiGood show" 8893 "2014-06-26 19:28:22" 5 "Very Good" https://www.zomato.com/review/maveg 1 1403791102.0
                      1409569761 540453e90d0cee69ad0ae1f6 2947744 940088 0 "Arushi Gupta" https://www.zomato.com/users/arushi-gupta-2947744 "A large 100 pipers for 700 rupees is ridiculous!" 8893 "2014-06-23 17:30:21" 1 Average https://www.zomato.com/review/LldeY  1403524821.0
                      1409569761 540453e90d0cee69ad0ae1f7 144676 934026 46 "Mayank Bhola" https://www.zomato.com/Scavenger "Amongst the best Caesar salad available around , supplemented by classic ambience." 8893 "2014-06-22 17:07:54" 7 Excellent https://www.zomato.com/review/wpeZR  1403437074.0
                      1409569761 540453e90d0cee69ad0ae1f8 2562658 930588 3 "Mikhil Pahwa" https://www.zomato.com/users/mikhil-pahwa-2562658 "I dnt know..wats wrong with thm..initially ws a good place to hang out .infact ws like a second hime for a few of my friends..however ..I think it lacks everything big time..u need to know the staff well enuf to get good service..alcohol is the same..crowd ..ws ok...initially fwlt like uve jst entered a gay club..coz could hardly see anyone of the oppositw gender..food has always been average..this time overall exp was sad..hope they improve." 8893 "2014-06-21 23:13:22" 4 Poor https://www.zomato.com/review/LllNZ  1403372602.0
                      1409569761 540453e90d0cee69ad0ae1f9 1216524 930134 118 "Snigdha Chowdhary" https://www.zomato.com/snigdhachowdhary "The music is awesome. The ambience is even better. The food is amazing too! It's the perfect place to be in on a Friday or Saturday night. Quite happening and popular amongst the various pubs in Hauz khas village!" 8893 "2014-06-21 21:58:42" 85 Excellent https://www.zomato.com/review/MbBEq  1403368122.0
                      1409569761 540453e90d0cee69ad0ae1fa 187451 929576 43 "Ritwik Kapur" https://www.zomato.com/users/ritwik-kapur-187451 "So after a lot of coercing by my friends, I decided to attend the Karaoke night last week. The experience was okay-ish but nothing to write home about. Carribean Chicken &amp; Jamaican Chicken wings were great, but the Pasta, considering the price was disappointing.Drinks are decently priced, but the restriction on 1+1 was a dampener.3.5." 8893 "2014-06-21 20:07:36" 18 Good https://www.zomato.com/review/adQPr  1403361456.0
                      1409569761 540453e90d0cee69ad0ae1fb 2337032 928036 5 "Ankur Bora" https://www.zomato.com/users/ankur-bora-2337032  8893 "2014-06-21 14:10:29" 2 "Very Good" https://www.zomato.com/review/GqODL 1 1403340029.0
                      1409569761 540453e90d0cee69ad0ae1fc 509125 926318 10 Nuzi https://www.zomato.com/users/nuzi-509125 "Located in Hauz Khas Village, where there is no dearth for good food, Raasta could really do better. While the interiors and seating are impressive, and the service average, food  was not particularly exciting. We ordered Nasi Goreng accompanied by chicken satay, and cajun chicken steak burger and it fared well in aesthetic appeal. But I really think they could work on the taste of the food more.   White Chocolate strawberry cheesecake, was an absolute disappointment, with a grainy and coarse texture, which is very unusual for cheesecakes! The plus points of this place are its seating area, which comprises of spacious interior with comfortable seating  and small outdoor area." 8893 "2014-06-21 01:57:39" 12 Good https://www.zomato.com/review/lvaLQ  1403296059.0
                      1409569761 540453e90d0cee69ad0ae1fd 1476132 902524 813 "Bhuvana Balan" https://www.zomato.com/bhuvna "Raasta only has my votes for good customer service and absolutely not for the food. You are a multi cuisine restaurant and you serve - Chinese, Thai, Mexican, European, North Indian - have chefs for all cuisines or have someone who can do a good job with everything. I was not entirely pleased with my meal.The problems -1) The chicken wings were very average, served cold.2) The jambalaya was not very tasty and the broccoli seemed undercooked.3) The price is very high, no value for money at all.Due to the above issues I was very put off by the place and I have to say that there are good chances that I may not go back to the place anytime soon." 8893 "2014-06-15 23:44:03" 182 Average https://www.zomato.com/review/EGNmd  1402856043.0
